CNPJ,COMPANHIA_ANO,ANO_REFER,z_DSRI,z_GMI,z_AQI,z_SGI,z_DEPI,z_SGAI,z_LVGI,z_TATA
00776574000156,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2021),2021,3.169565445577755,-0.5351870087178396,0.8398829281165509,5.682243595700682,18.319942364906463,0.12465398135552787,-0.3446361273341947,0.8702572133848998
00776574000156,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2022),2022,-1.1899589569854345,6.872002464843218,-2.0491992505380257,0.10546454148885251,-0.5338242729892108,3.613176857649077,7.937351206920134,-1.6948061898235112
00776574000156,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2023),2023,-0.9051492049497118,-4.210083612681392,4.068038666402214,-2.712927465587335,-0.18908651301615315,3.791491754619984,0.9715102311332209,-0.23447428809979376
00776574000156,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2024),2024,-0.7585334127954465,-1.1743204823992113,-1.0746045451103783,-0.7874398053548928,1.1493855229488614,-1.795675006431192,-4.269620159242498,3.95690846755829
00776574000156,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2025),2025,-0.044884622363858276,2.5454569101800377,-0.5284472948982364,-1.3062783827800917,0.28079019627717017,-1.4136658472571983,1.2478951181684776,0.012114287965517744
04626426000106,BTG PACTUAL COMMODITIES SERTRADING S.A. (2025),2025,11.4321187502497,-2.4079718546343143,15.222421947969895,-1.5222702289776349,19.3743583663005,11.866204124362532,5.552547490163312,1.6301669784955073
04972092000122,GRUPO FARTURA DE HORTIFRUT S.A. (2021),2021,-0.16479756825369268,0.256347328408568,-0.7045728621670238,0.08478131782898733,0.40523058560134306,0.7386723897399753,0.27980615162942835,0.0912586750880208
04972092000122,GRUPO FARTURA DE HORTIFRUT S.A. (2022),2022,0.563844921444241,-0.24290049144761944,0.6615150129454058,0.2007789256913659,0.36403695637828803,0.14838682936139264,-0.48248281155931044,-0.09056818650561055
04972092000122,GRUPO FARTURA DE HORTIFRUT S.A. (2023),2023,0.4524447934911525,-0.07765709099490432,7.477007514042826,0.09712419708338221,-0.07758113182397058,-0.13026514844182477,-1.8071243901890088,1.105492919634391
04972092000122,GRUPO FARTURA DE HORTIFRUT S.A. (2024),2024,-0.10236239763197365,0.031633008741523125,2.207982923024811,-0.09859188463690953,0.34394740328780604,-0.6277061682890399,0.3399873802486241,0.0
04972092000122,GRUPO FARTURA DE HORTIFRUT S.A. (2025),2025,-0.5372685029157606,0.29254289018695423,0.3699528494372496,-0.08417668905654539,0.06515257658632112,-0.04207133869819569,-0.5386293969137075,0.037009097762684996
05917486000140,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2021),2021,-1.2203803908823356,2.6774259328144763,0.010225838767104596,1.863670296492844,-0.5027439954412827,1.9299930014229985,-1.9362604467809568,1.2640354534722213
05917486000140,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2022),2022,0.9804994753006805,2.5674815009042335,1.3313674078495528,-0.5666001596762696,-0.38800524589011287,-3.598160496481069,-3.2861975579615104,0.7634483215610846
05917486000140,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2023),2023,1.5963341582816244,1.4246021579918675,3.555657158003532,-1.3894384440701737,-0.7068216284030735,-2.67199145451872,-3.9846175089200395,-1.1211394974338147
05917486000140,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2024),2024,2.519758960319228,-2.3819855040184996,-0.1499865991843913,-0.9392883403867139,-0.011361940485602623,9.950154086880874,5.966928218536469,-0.18229219951880443
05917486000140,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2025),2025,-1.0523794227733945,-0.5720837668035781,-0.2275541494521405,-0.38239088382457764,-1.098653470603834,31.221665771749596,1.270958877941208,-2.406146128916034
06347409000165,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2021),2021,-2.1273576993364243,-2.035743009171737,0.8069068966584554,1.0725688476509,-0.3005815516866097,-0.9185977663905357,-0.3991877300820303,0.5291582345150991
06347409000165,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2022),2022,1.3769053445739423,0.27668364510371796,0.7725452916233783,0.9315707782715412,0.21287139703429367,0.45754797938126485,-1.072837710200312,0.11149651497972832
06347409000165,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2023),2023,-2.5190694194335643,-1.8132557738815727,0.5809950064814877,2.0187985203296375,-1.033532894697809,0.8369022244205194,-0.9471250957793856,-0.12792632887829286
06347409000165,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2024),2024,-0.3418365352633612,-0.6608051492987003,0.2603696342687455,-0.5123372802357319,0.4554718700463328,0.3667244809273178,-0.5192101705765106,-0.20348252430406902
06347409000165,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2025),2025,0.7289051966770502,1.1236274947301128,-0.2609582246753027,0.7778135336946705,0.14347590888765624,-1.4679268388502307,-0.029053842089400726,0.5476701756679857
06626253000151,EMPREENDIMENTOS PAGUE MENOS S.A. (2023),2023,-0.12825259805494055,0.24593452572512445,-0.16255378365448175,0.5190021250349454,-1.440339380062873,0.05997087413609462,0.2333604569418112,-0.02119776926904572
06626253000151,EMPREENDIMENTOS PAGUE MENOS S.A. (2024),2024,-0.03216396219873361,-0.022810960588249107,-2.113837828101556,0.06182669578536393,9.511483803653798,-0.3222324725641811,-0.26988520675032235,0.22033255709916624
