CNPJ,CVM,DENOM_CIA,DT_REFER,ANO_REFER,ativo_total,ativo_circulante,recebiveis,imobilizado,passivo_circulante,divida_longo_prazo,receita_liquida,resultado_bruto,despesas_vendas,despesas_gerais_adm,resultado_liquido,depreciacao,fco
06057223000171,25372,SENDAS DISTRIBUIDORA S.A.,2020-12-31,2020,18821000.0,8349000.0,216000.0,7476000.0,8723000.0,5711000.0,36043000.0,5914000.0,-2811000.0,-435000.0,1556000.0,-537000.0,3498000.0
06347409000165,25410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,2020-12-31,2020,6754531.0,4379855.0,3277451.0,1625888.0,3648211.0,1581629.0,3578582.0,873830.0,-786032.0,-205149.0,-112225.0,-234486.0,206469.0
06347409000165,25410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,2021-12-31,2021,5637573.0,3231468.0,2029708.0,1652618.0,2426864.0,1856445.0,4754898.0,1387187.0,-937948.0,-254211.0,80310.0,-265657.0,90562.0
06347409000165,25410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,2022-12-31,2022,10026057.0,6475190.0,3391588.0,1945500.0,4695201.0,2190426.0,6185094.0,1774179.0,-1331598.0,-295237.0,40170.0,-320595.0,458365.0
06347409000165,25410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,2023-12-31,2023,8832574.0,5295048.0,1926184.0,1903420.0,3202470.0,2368220.0,9377358.0,3148562.0,-2249615.0,-435705.0,129060.0,-401606.0,699458.0
06347409000165,25410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,2024-12-31,2024,8922504.0,5161376.0,1726262.0,1971402.0,3242779.0,2201725.0,9516148.0,3384515.0,-2192049.0,-640860.0,522755.0,-410301.0,1163351.0
06347409000165,25410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,2025-12-31,2025,10283053.0,6197193.0,2485095.0,2088524.0,4174348.0,2249658.0,12088651.0,3969953.0,-2407064.0,-643900.0,642305.0,-451254.0,642823.0
06626253000151,22608,EMPREENDIMENTOS PAGUE MENOS S.A.,2022-12-31,2022,8597426.0,4127912.0,686621.0,1044838.0,2935820.0,1100597.0,9189075.0,2950775.0,-2257817.0,-321419.0,263049.0,-387328.0,146466.0
06626253000151,22608,EMPREENDIMENTOS PAGUE MENOS S.A.,2023-12-31,2023,8988598.0,4493557.0,780978.0,949597.0,3242528.0,1205139.0,11202122.0,3545239.0,-2842023.0,-325854.0,2735.0,-527262.0,491579.0
06626253000151,22608,EMPREENDIMENTOS PAGUE MENOS S.A.,2024-12-31,2024,8983695.0,4614664.0,842102.0,2709408.0,3381427.0,1046625.0,12641825.0,4026116.0,-3072840.0,-386182.0,103148.0,-518128.0,384477.0
06626253000151,22608,EMPREENDIMENTOS PAGUE MENOS S.A.,2025-12-31,2025,9920927.0,5688716.0,1504816.0,2594063.0,3577888.0,1544416.0,14906429.0,4763098.0,-3464032.0,-449659.0,260930.0,-526348.0,200372.0
07859510000168,24473,JHSF MALLS S.A.,2020-12-31,2020,3077671.0,174593.0,32804.0,32869.0,136848.0,612930.0,107895.0,77078.0,-4883.0,-40809.0,49927.0,-3695.0,47313.0
07859510000168,24473,JHSF MALLS S.A.,2021-12-31,2021,3169030.0,255737.0,42879.0,25698.0,123939.0,689576.0,146635.0,106414.0,-9546.0,-53860.0,-8382.0,-3337.0,-9364.0
07859510000168,24473,JHSF MALLS S.A.,2022-12-31,2022,3219596.0,268813.0,48466.0,40290.0,132029.0,792742.0,185222.0,138182.0,-11207.0,-69736.0,-63878.0,-4505.0,12233.0
08764621000153,21008,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,2020-12-31,2020,1693377.0,250781.0,72186.0,19320.0,277345.0,1704613.0,91781.0,61029.0,0.0,-48523.0,-472942.0,-2402.0,40179.0
08764621000153,21008,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,2021-12-31,2021,1726089.0,358441.0,76824.0,26372.0,304513.0,1926297.0,130584.0,95594.0,0.0,-52445.0,-256470.0,-3036.0,-39652.0
08764621000153,21008,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,2022-12-31,2022,1496797.0,255115.0,63125.0,26696.0,281443.0,1789043.0,154115.0,108065.0,0.0,-54270.0,-86772.0,-3006.0,-125887.0
08764621000153,21008,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,2023-12-31,2023,1527137.0,353743.0,65292.0,27783.0,237517.0,1798652.0,160707.0,110700.0,0.0,-65631.0,93165.0,-2088.0,-62889.0
08764621000153,21008,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,2024-12-31,2024,1219757.0,218528.0,60801.0,28411.0,193542.0,2381814.0,180492.0,121660.0,0.0,-67245.0,-815268.0,-2137.0,-8572.0
08764621000153,21008,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,2025-12-31,2025,1058223.0,159837.0,66656.0,29445.0,270558.0,2159515.0,190189.0,128504.0,0.0,-64243.0,22170.0,-2845.0,-39839.0
09295063000197,22519,TECHNOS S.A.,2020-12-31,2020,598815.0,345865.0,133452.0,28129.0,66682.0,133732.0,244607.0,112399.0,-63578.0,-33850.0,-28163.0,11087.0,12952.0
09295063000197,22519,TECHNOS S.A.,2021-12-31,2021,642730.0,418279.0,142792.0,25654.0,109156.0,120003.0,314402.0,165176.0,-69425.0,-37499.0,28081.0,8890.0,42457.0
09295063000197,22519,TECHNOS S.A.,2022-12-31,2022,642766.0,417062.0,148184.0,26443.0,86217.0,102253.0,351232.0,190552.0,-84225.0,-38493.0,39925.0,9751.0,42437.0
09295063000197,22519,TECHNOS S.A.,2023-12-31,2023,665615.0,437690.0,152111.0,27556.0,95547.0,77759.0,342347.0,189381.0,-88623.0,-41299.0,56213.0,9629.0,75704.0
09295063000197,22519,TECHNOS S.A.,2024-12-31,2024,724487.0,495693.0,190186.0,26161.0,171209.0,53778.0,400280.0,218851.0,-106680.0,-39405.0,64833.0,10576.0,48231.0
09295063000197,22519,TECHNOS S.A.,2025-12-31,2025,693048.0,459750.0,229721.0,26582.0,124490.0,40705.0,478423.0,261665.0,-125961.0,-41102.0,71475.0,11774.0,28015.0
09813204000116,25852,W2W E-COMMERCE DE VINHOS S.A.,2020-12-31,2020,286286.0,225139.0,84587.0,29505.0,192882.0,13459.0,341101.0,160042.0,-80231.0,-78702.0,-6611.0,-12122.0,19064.0
09813204000116,25852,W2W E-COMMERCE DE VINHOS S.A.,2021-12-31,2021,624121.0,317312.0,98122.0,40628.0,225962.0,253943.0,557858.0,265424.0,-123759.0,-107926.0,-3506.0,-19118.0,18565.0
09813204000116,25852,W2W E-COMMERCE DE VINHOS S.A.,2022-12-31,2022,660214.0,343113.0,118536.0,37696.0,298941.0,128640.0,730796.0,356489.0,-166428.0,-137479.0,-20331.0,-30677.0,37030.0
09813204000116,25852,W2W E-COMMERCE DE VINHOS S.A.,2023-12-31,2023,681638.0,368448.0,119358.0,35096.0,329304.0,134430.0,768567.0,359325.0,-175101.0,-144817.0,-26530.0,-32706.0,24410.0
09813204000116,25852,W2W E-COMMERCE DE VINHOS S.A.,2024-12-31,2024,772159.0,418067.0,150857.0,29023.0,461275.0,81633.0,792763.0,372851.0,-187032.0,-145554.0,-40780.0,-41135.0,35149.0
09813204000116,25852,W2W E-COMMERCE DE VINHOS S.A.,2025-12-31,2025,709590.0,321021.0,133352.0,22316.0,338686.0,48410.0,766844.0,368261.0,-156025.0,-151556.0,6219.0,-46442.0,-29097.0
10158356000101,27839,CPX DISTRIBUIDORA S.A.,2024-12-31,2024,2759054.0,1960310.0,476954.0,131328.0,533596.0,1053136.0,2391950.0,806687.0,-323481.0,-235285.0,88279.0,-22294.0,-405196.0
10158356000101,27839,CPX DISTRIBUIDORA S.A.,2025-12-31,2025,2878952.0,1957698.0,539149.0,190638.0,1800220.0,143507.0,3023315.0,906666.0,-309703.0,-419234.0,-9977.0,28366.0,146455.0
12108897000150,25046,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,2020-12-31,2020,1454977.0,483022.0,71396.0,257112.0,317674.0,46925.0,1004375.0,324907.0,0.0,-266318.0,123.0,-76956.0,5804.0
12108897000150,25046,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,2021-12-31,2021,1470516.0,394550.0,95738.0,334463.0,357243.0,2466.0,1141394.0,370898.0,0.0,-295580.0,1979.0,-94038.0,95007.0
12108897000150,25046,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,2022-12-31,2022,1470715.0,411100.0,134466.0,327788.0,342648.0,26541.0,1483148.0,475512.0,0.0,-340220.0,11355.0,-97460.0,102608.0
12108897000150,25046,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,2023-12-31,2023,1548519.0,472346.0,160447.0,353422.0,407884.0,17546.0,1748909.0,552829.0,0.0,-511205.0,21362.0,-104585.0,146042.0
12108897000150,25046,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,2024-12-31,2024,1834454.0,602480.0,196038.0,486941.0,528585.0,28208.0,2160645.0,661640.0,0.0,-595348.0,25857.0,-117646.0,176739.0
12108897000150,25046,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,2025-12-31,2025,1949154.0,620264.0,239679.0,567989.0,573366.0,15130.0,2666765.0,762249.0,0.0,-689140.0,22565.0,-134737.0,165212.0
12420164000157,25682,CM HOSPITALAR S.A,2020-12-31,2020,4595219.0,2870295.0,978549.0,357048.0,2064600.0,411373.0,4413421.0,638471.0,-162338.0,-258004.0,121766.0,-82265.0,185611.0
12420164000157,25682,CM HOSPITALAR S.A,2021-12-31,2021,6897190.0,4587414.0,1183243.0,293914.0,2124284.0,1877294.0,6218759.0,1097307.0,-196365.0,-475497.0,395155.0,-98189.0,214542.0
12420164000157,25682,CM HOSPITALAR S.A,2022-12-31,2022,9559624.0,5633112.0,2028015.0,438478.0,3215396.0,3056954.0,8746531.0,1396664.0,-240218.0,-623310.0,259733.0,-26386.0,532751.0
12420164000157,25682,CM HOSPITALAR S.A,2023-12-31,2023,10186693.0,5974663.0,2453332.0,554435.0,3056590.0,2835178.0,11083830.0,1734717.0,-281399.0,-864658.0,359916.0,-260611.0,-895625.0
12420164000157,25682,CM HOSPITALAR S.A,2024-12-31,2024,9544197.0,5269722.0,2075703.0,536286.0,2853057.0,3469652.0,11583371.0,1305953.0,-484050.0,-989334.0,-1415491.0,-311127.0,34150.0
12420164000157,25682,CM HOSPITALAR S.A,2025-12-31,2025,8983758.0,4653627.0,2007835.0,485230.0,3499523.0,2442465.0,11566926.0,1669361.0,-364487.0,-962745.0,18239.0,-330372.0,276580.0
13217485000111,24694,GRUPO SBF S.A.,2020-12-31,2020,6193860.0,3289039.0,984491.0,1670668.0,1852278.0,1587253.0,2406863.0,1050097.0,-855553.0,-250980.0,-112805.0,-239912.0,-508831.0
13217485000111,24694,GRUPO SBF S.A.,2021-12-31,2021,7146492.0,3617346.0,1330303.0,1757954.0,2161217.0,1911402.0,5110462.0,2351611.0,-1528850.0,-387894.0,497831.0,-315731.0,407081.0
13217485000111,24694,GRUPO SBF S.A.,2022-12-31,2022,8470247.0,4526488.0,1715172.0,2000123.0,2948338.0,2213814.0,6260707.0,2940932.0,-2028388.0,-508530.0,204602.0,-370293.0,138103.0
13217485000111,24694,GRUPO SBF S.A.,2023-12-31,2023,8614447.0,4688724.0,1597414.0,1955083.0,2841656.0,2384462.0,6988671.0,3314671.0,-2277841.0,-517600.0,168812.0,-415150.0,625410.0
13217485000111,24694,GRUPO SBF S.A.,2024-12-31,2024,8945967.0,4874554.0,1771289.0,2008819.0,3222231.0,2213862.0,7151714.0,3513125.0,-2230503.0,-688354.0,535834.0,-425976.0,1069935.0
13217485000111,24694,GRUPO SBF S.A.,2025-12-31,2025,9522546.0,5070858.0,1815778.0,2121135.0,3739772.0,2257373.0,7736413.0,3735083.0,-2468857.0,-695293.0,327970.0,-466088.0,641706.0
16233389000155,25542,CVLB BRASIL S.A,2020-12-31,2020,1294682.0,637484.0,136620.0,491998.0,433059.0,362539.0,638933.0,304288.0,0.0,-55020.0,-55530.0,-98660.0,16448.0
16233389000155,25542,CVLB BRASIL S.A,2021-12-31,2021,1231368.0,512559.0,124445.0,470272.0,468542.0,364914.0,721887.0,320443.0,0.0,-63277.0,-106786.0,-104652.0,-33838.0
16233389000155,25542,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL,2022-12-31,2022,1263729.0,507387.0,103997.0,419714.0,455282.0,435788.0,775844.0,339697.0,0.0,-72088.0,-106114.0,-102228.0,169812.0
16233389000155,25542,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL,2023-12-31,2023,2779922.0,977179.0,141326.0,896788.0,1260289.0,519673.0,2087226.0,788843.0,-331376.0,-99641.0,-135693.0,-212260.0,217220.0
16233389000155,25542,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL,2024-12-31,2024,2815001.0,964163.0,18873.0,814422.0,1486687.0,450115.0,2232796.0,860993.0,-402580.0,-80043.0,-111611.0,-191872.0,97313.0
16233389000155,25542,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL,2025-12-31,2025,2303485.0,870055.0,51550.0,740236.0,2097976.0,0.0,2089068.0,774191.0,-427596.0,-101763.0,-767714.0,-203227.0,32771.0
16922038000151,25259,ENJOEI S.A.,2020-12-31,2020,529067.0,506654.0,0.0,4343.0,28371.0,0.0,79607.0,28187.0,-21967.0,-37394.0,-31125.0,-6779.0,-7271.0
16922038000151,25259,ENJOEI S.A.,2021-12-31,2021,472295.0,418705.0,16001.0,10580.0,39417.0,0.0,106140.0,27772.0,-57197.0,-101876.0,-118785.0,-10484.0,-68003.0
16922038000151,25259,ENJOEI S.A.,2022-12-31,2022,430696.0,357013.0,20774.0,7927.0,42929.0,0.0,138901.0,48677.0,-42789.0,-99167.0,-66515.0,-17803.0,-33624.0
16922038000151,25259,ENJOEI S.A.,2023-12-31,2023,412862.0,296486.0,20325.0,7067.0,60946.0,0.0,194555.0,96873.0,-48718.0,-119813.0,-52971.0,-25183.0,-10068.0
