CNPJ,CVM,DENOM_CIA,DT_REFER,ANO_REFER,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,MSCORE,COMPANHIA_ANO
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2021-12-31,2021,1.7033073383117565,0.953834525229606,1.2129742763730245,2.2417110950464263,3.4033488413239956,1.0142701958891003,0.9875478339918907,0.03076101851055684,-0.24175140804095627,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2021)
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2022-12-31,2022,0.6850385281842323,1.530595651281192,0.5709564997878459,1.1371635559452888,0.878905672577426,1.3789444715364896,2.8852027722281606,-0.2142369710592971,-4.238574123239481,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2022)
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2023-12-31,2023,0.7515625020258782,0.6676885435464636,1.9303416759151204,0.5789474377565635,0.9250646656257303,1.3975846978431299,1.1387108542302775,-0.07475567029319564,-3.3558861577123187,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2023)
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2024-12-31,2024,0.7858080468231616,0.9040683698891097,0.7875329372714388,0.9603132110828537,1.1042806627601536,0.8135277592020154,0.1926685581062829,0.6772401946750645,0.6279239473408689,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2024)
00776574000156,20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2025-12-31,2025,0.9524974004266106,1.1937089961027403,0.9089011233471862,0.8575510488535787,0.9879792583280955,0.8534612549400327,1.1704544167935964,-0.05120315096313619,-2.8567883110455905,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2025)
04626426000106,27774,BTG PACTUAL COMMODITIES SERTRADING S.A.,2025-12-31,2025,3.6332197657354466,0.8080100528789828,7.789881886346699,0.8147712901677425,18.181562508054412,2.241678312509481,1.6648555519263077,0.10334260244868768,4.4475230553625416,BTG PACTUAL COMMODITIES SERTRADING S.A. (2025)
04972092000122,26166,GRUPO FARTURA DE HORTIFRUT S.A.,2021-12-31,2021,0.9244889294433223,1.0154673803386902,0.8697621379859707,1.1330669970585012,1.0046413236214122,1.0784568806987085,1.0592667429456017,-0.043643799523129675,-2.7117741371464508,GRUPO FARTURA DE HORTIFRUT S.A. (2021)
04972092000122,26166,GRUPO FARTURA DE HORTIFRUT S.A.,2022-12-31,2022,1.0946804119263287,0.9765934274329572,1.1733369918546446,1.1560417054090577,0.9991256631231541,1.0167511196102554,0.9717157641135987,-0.061010705730795124,-2.475237233702358,GRUPO FARTURA DE HORTIFRUT S.A. (2022)
04972092000122,26166,GRUPO FARTURA DE HORTIFRUT S.A.,2023-12-31,2023,1.068660308524189,0.9894601118964617,2.687889736050117,1.1355116513604442,0.9399947855977947,0.9876221123580324,0.8195770445321573,0.053229186367180915,-1.316327664230461,GRUPO FARTURA DE HORTIFRUT S.A. (2023)
04972092000122,26166,GRUPO FARTURA DE HORTIFRUT S.A.,2024-12-31,2024,0.9390721227067222,0.9979699901998673,1.5169962676360884,1.0967477494153959,0.9964357531419568,0.9356218962141675,1.0661787221652437,-0.05236022809148699,-2.4979308116063867,GRUPO FARTURA DE HORTIFRUT S.A. (2024)
