CNPJ,CVM,DENOM_CIA,DT_REFER,ANO_REFER,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,MSCORE,COMPANHIA_ANO,percentil_consensual,posicao,top_3,top_5,top_10,componentes_predominantes
45453214000151,20346,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,2022-12-31,2022,1.02979763532258,0.9656108930799838,0.8700293485612656,1.2187705386968344,0.9111761728935026,0.9559641534832092,1.0657879806125932,-0.0094576480326273,-2.396514025942008,PROFARMA DISTRIB PROD FARMACEUTICOS S.A. (2022),0.17262032085561496,156,False,False,False,AQI; SGI; TATA
20258278000170,23507,OUROFINO S.A.,2022-12-31,2022,1.0667030763639893,0.9741573899582076,0.959238461169556,1.15040591563894,0.9477341536074656,1.0144865219226586,0.95194859115693,0.0304997010779759,-2.164664994855066,OUROFINO S.A. (2022),0.1645989304812834,157,False,False,False,TATA; LVGI; DSRI
06347409000165,25410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,2024-12-31,2024,0.8831373411422799,0.9440532633255424,1.0841936417595135,1.0148005440338312,1.011368428594234,1.0395751421994242,0.967497526165591,-0.071795540803344,-2.900639788209153,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2024),0.1607486631016043,158,False,False,False,GMI; LVGI; SGI
92012467000170,4537,GRAZZIOTIN S.A.,2024-12-31,2024,0.9644367902172996,0.983065649203265,0.9280873944158587,1.0764786969825466,1.107567008020461,0.9776647155962884,0.957945606507444,-0.0373017984069985,-2.6270646384028105,GRAZZIOTIN S.A. (2024),0.15925133689839574,159,False,False,False,DEPI; LVGI; AQI
12108897000150,25046,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,2021-12-31,2021,1.1799694916081953,0.9955068846174756,1.0263337667727237,1.1364221530802738,1.0496779268084158,0.9766407316813652,0.9761626909270168,-0.063262147436682,-2.4629510623742457,D1000 VAREJO FARMA PARTICIPAÇÕES S.A. (2021),0.1488770053475936,160,False,False,False,DSRI; DEPI; LVGI
92012467000170,4537,GRAZZIOTIN S.A.,2025-12-31,2025,0.8519273068583415,0.9848439742785002,1.098263221514393,1.0222662340514308,0.8298248911898943,1.0251991975927002,1.0075462234535435,-0.0508256858950767,-2.828854835877065,GRAZZIOTIN S.A. (2025),0.1467379679144385,161,False,False,False,DEPI; DSRI; SGI
18328118000109,25089,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,2024-12-31,2024,1.0137496271782078,0.9950227282469406,1.0022227011286693,1.047070802375237,0.9154317269648988,1.0104447274190194,1.0977099694402803,-0.129200949105099,-3.075097460891808,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A. (2024),0.14032085561497326,162,False,False,False,TATA; LVGI; SGI
04972092000122,26166,GRUPO FARTURA DE HORTIFRUT S.A.,2022-12-31,2022,1.0946804119263287,0.9765934274329572,1.1733369918546446,1.1560417054090577,0.999125663123154,1.0167511196102554,0.9717157641135988,-0.0610107057307951,-2.475237233702358,GRUPO FARTURA DE HORTIFRUT S.A. (2022),0.13048128342245982,163,False,False,False,AQI; DSRI; LVGI
04972092000122,26166,GRUPO FARTURA DE HORTIFRUT S.A.,2021-12-31,2021,0.9244889294433224,1.0154673803386902,0.8697621379859707,1.1330669970585012,1.0046413236214122,1.0784568806987085,1.0592667429456015,-0.0436437995231296,-2.7117741371464508,GRUPO FARTURA DE HORTIFRUT S.A. (2021),0.12192513368983957,164,False,False,False,SGAI; AQI; DEPI
92665611000177,9342,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,2021-12-31,2021,0.9930947356396764,0.9532765276339408,1.0946649935438926,1.144122790526088,0.9142797357732276,1.094911679291137,1.0378077434487636,-0.0217348575844371,-2.4844638200492555,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS (2021),0.1151871657754011,165,False,False,False,SGAI; GMI; TATA
61585865000151,5258,RAIA DROGASIL S.A.,2023-12-31,2023,1.1684807222877345,1.0087282644578313,1.091463214497768,1.168794366743752,0.9560734790743648,0.9934491302211272,1.0672443213927203,-0.0347451818943495,-2.321359897552588,RAIA DROGASIL S.A. (2023),0.11240641711229946,166,False,False,False,DSRI; LVGI; AQI
96418264021802,25038,LOJAS QUERO QUERO S.A.,2024-12-31,2024,1.0630805077232055,0.9895004383857032,0.8612885620496926,1.1118385306532974,0.9472719026093976,0.982349938266933,1.069751187952377,-0.0873793671789051,-2.8184737710885384,LOJAS QUERO QUERO S.A. (2024),0.10844919786096258,167,False,False,False,AQI; DSRI; LVGI
