principal,sem_winsorizacao,winsor_2_5,padronizacao_por_ano,max_samples_64,max_samples_n,arvores_200,COMPANHIA_ANO
0.9647058823529407,0.9556149732620322,0.9318181818181819,0.9181818181818182,0.9644385026737968,0.9641711229946524,0.9647058823529413,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2021)
0.9536898395721932,0.9703208556149733,0.95,0.9481283422459894,0.9580213903743315,0.9518716577540107,0.9540106951871655,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2022)
0.8691978609625671,0.8647058823529411,0.9208556149732618,0.849197860962567,0.896524064171123,0.8588235294117647,0.8711229946524064,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2023)
0.8841711229946526,0.9470588235294117,0.8307486631016042,0.8991978609625668,0.8614973262032086,0.8895721925133688,0.886096256684492,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2024)
0.6160427807486633,0.6342245989304813,0.6248663101604277,0.7280748663101604,0.6288770053475935,0.6205882352941177,0.6286096256684491,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL (2025)
0.9989304812834224,0.9997326203208555,1.0,1.0,1.0,0.9981283422459895,0.9967914438502673,BTG PACTUAL COMMODITIES SERTRADING S.A. (2025)
0.1219251336898395,0.13208556149732623,0.14465240641711233,0.1457219251336899,0.1339572192513369,0.12192513368983957,0.12700534759358287,GRUPO FARTURA DE HORTIFRUT S.A. (2021)
0.1304812834224598,0.12834224598930483,0.13181818181818183,0.11871657754010696,0.13262032085561498,0.1288770053475936,0.1254010695187166,GRUPO FARTURA DE HORTIFRUT S.A. (2022)
0.7988235294117648,0.7989304812834221,0.772192513368984,0.7994652406417111,0.7901069518716578,0.8045454545454543,0.8008021390374329,GRUPO FARTURA DE HORTIFRUT S.A. (2023)
0.3874866310160427,0.4112299465240642,0.4419786096256684,0.463101604278075,0.3823529411764706,0.3804812834224599,0.3748663101604278,GRUPO FARTURA DE HORTIFRUT S.A. (2024)
0.0759358288770053,0.0711229946524064,0.07593582887700534,0.18155080213903743,0.06176470588235292,0.08716577540106953,0.08689839572192515,GRUPO FARTURA DE HORTIFRUT S.A. (2025)
0.7782887700534761,0.7759358288770054,0.7866310160427809,0.6893048128342245,0.7852941176470588,0.7786096256684493,0.7788770053475935,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2021)
0.7989304812834225,0.7957219251336898,0.8221925133689838,0.8104278074866309,0.8082887700534759,0.7981283422459893,0.8061497326203207,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2022)
0.8729411764705882,0.8572192513368986,0.896524064171123,0.8259358288770053,0.89572192513369,0.8716577540106953,0.8844919786096256,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2023)
0.911122994652406,0.8994652406417114,0.94572192513369,0.9163101604278074,0.9165775401069519,0.907754010695187,0.9088235294117647,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2024)
0.9298395721925132,0.9395721925133689,0.8681818181818184,0.9414438502673796,0.9069518716577539,0.9366310160427807,0.9267379679144385,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A. (2025)
0.6475935828877006,0.6216577540106952,0.6470588235294118,0.5098930481283424,0.6451871657754011,0.6510695187165776,0.656951871657754,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2021)
0.4680213903743315,0.4703208556149733,0.44919786096256675,0.3901069518716577,0.4692513368983956,0.4711229946524065,0.47112299465240637,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2022)
0.758288770053476,0.7419786096256684,0.7470588235294118,0.7628342245989305,0.7655080213903743,0.7577540106951871,0.7593582887700536,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2023)
0.1607486631016043,0.16149732620320859,0.1636363636363637,0.10213903743315508,0.16363636363636364,0.16390374331550803,0.1631016042780749,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2024)
0.3957219251336898,0.4235294117647059,0.40160427807486626,0.549197860962567,0.4085561497326203,0.39117647058823535,0.4,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A. (2025)
0.1979679144385026,0.19946524064171123,0.21657754010695185,0.24224598930481278,0.18796791443850266,0.20641711229946527,0.20080213903743313,EMPREENDIMENTOS PAGUE MENOS S.A. (2023)
0.8039572192513369,0.801336898395722,0.7997326203208555,0.8641711229946523,0.7852941176470587,0.8056149732620319,0.7983957219251336,EMPREENDIMENTOS PAGUE MENOS S.A. (2024)
