semente,spearman_com_consenso,jaccard_top5
0,0.9976491875841871,1.0
1,0.9971702164362345,1.0
2,0.997537244135815,1.0
3,0.9970490972953729,1.0
4,0.9958379058867572,1.0
5,0.9967022561192694,1.0
6,0.9974124547179577,1.0
7,0.9966068289173784,1.0
8,0.9968472320606037,1.0
9,0.9980364018072444,1.0
10,0.9954084834782483,1.0
11,0.9967738265206876,1.0
12,0.9976638686921703,1.0
13,0.9969958782789338,1.0
14,0.9977996689410151,1.0
15,0.9959902223820832,1.0
16,0.9970123945254148,1.0
17,0.9971353488047744,1.0
18,0.9974308061029367,1.0
19,0.9970931406193226,1.0
20,0.9970454270183772,1.0
21,0.9971371839432722,1.0
22,0.9972160948986821,0.8181818181818182
23,0.9962820094032497,1.0
24,0.996087484722472,1.0
25,0.9975739469057732,1.0
26,0.9976253307837144,1.0
27,0.996632520856349,1.0
28,0.9973317086240499,1.0
29,0.9967242777812443,1.0
30,0.9956709082834482,1.0
31,0.9971188325582933,1.0
32,0.9967352886122317,1.0
33,0.9961425388774091,1.0
34,0.9965572801779351,1.0
35,0.9968637483070847,1.0
36,0.9969738566169589,1.0
37,0.9976657038306681,1.0
38,0.9962489769102876,1.0
39,0.9972252705911716,1.0
40,0.9951038504875963,0.8181818181818182
41,0.9976803849386513,0.8181818181818182
42,0.9976620335536723,1.0
43,0.9959902223820832,1.0
44,0.9971114920043016,1.0
45,0.9953882969547713,0.8181818181818182
46,0.9964288204830819,1.0
47,0.9974087844409618,0.8181818181818182
48,0.9963278878656973,1.0
49,0.997346389732033,1.0
